psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMs_0uUEeeUhVA**,3,,,,,,,,,,,,1,2,1,40,1,4,3,3,1,,,2,5,50,69,63,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,2,1,1,1,5,5,1,1,1,3,7,1,1,1,8,2,1,1,1,7,3,1
EQMtgbNuEMs_2viOREJuHg**,2,,,,,,,,,,,,1,1,1,50,1,5,5,2,2,,2,,0,52,0,82,0,0,,,,1,1,1,1,5,5,1,1,1,10,0,1,1,1,6,4,1,1,1,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs_6gdg3e5G0g**,3,,,,,,,,,,,,1,2,1,41,1,1,3,2,2,,2,,0,40,3,42,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs_75WPdp6k5w**,2,,,,,,,,,,,,1,2,4,20,2,4,7,6,4,3,,,50,50,50,50,50,50,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs_8SJxhF-nYw**,3,,,,,,,,,,,,5,1,5,37,1,3,3,3,1,,,2,100,26,96,100,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,1,1,1,6,4,1,1,1,3,7,1,1,1,2,8,1,1,1,3,7,1
EQMtgbNuEMs_9R5_ZgiFAA**,3,,,,,,,,,,,,7,1,1,6,1,4,3,3,3,3,,,50,40,40,100,9,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,0,10,1,1,1,0,10,1,1,1,10,0,1,1,1,0,10,1
EQMtgbNuEMs_BfVhB6UYmA**,3,,,,,,,,,,,,1,1,1,63,1,6,7,3,3,2,,,14,40,19,71,10,82,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,4,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1,1,1,5,5,1
EQMtgbNuEMs_ca_NoxuQ0g**,2,,,,,,,,,,,,1,2,1,53,1,1,3,2,1,,,1,92,3,86,64,64,64,,,,1,1,1,1,8,2,1,1,1,7,3,1,1,1,9,1,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs_De70NlPS7A**,2,,,,,,,,,,,,1,2,1,40,1,1,3,4,1,,,1,86,1,92,82,3,50,,,,1,1,1,1,9,1,1,1,1,5,5,1,1,1,5,5,1,1,1,9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs_fumu8PshoQ**,,,,,,,,,,,,,1,1,2,35,1,1,4,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
